Sample,Sample Type,Lat,Lng,Elevation(masl),Thickness(cm),Density(g/cm3),Shielding,10Be-conc(at/g),10Be-unc(at/g),10Be-std,Sample Year,Published Age (yr),Published Unc (yr),Reference,Height (cm),Regions
WIT-13,boulder,47.649,-119.657,655,2,2.65,1,116000,3550,07KNSTD,2015,17100,1400,"Balbas AM, Barth AM, Clark PU, Clark J, Caffee M, O'Connor J, Baker VR, Konrad K, Bjornstad B, 2017. 10Be dating of late Pleistocene megafloods and Cordilleran ice sheet retreat in the northwestern United States. Geology 45, 583-586.",105,NW Pacific
WIT-15,boulder,47.65,-119.65,615,2,2.65,1,88400,2960,07KNSTD,2015,13500,1100,"Balbas AM, Barth AM, Clark PU, Clark J, Caffee M, O'Connor J, Baker VR, Konrad K, Bjornstad B, 2017. 10Be dating of late Pleistocene megafloods and Cordilleran ice sheet retreat in the northwestern United States. Geology 45, 583-586.",60,NW Pacific
WIT-18,boulder,47.665,-119.634,635,2,2.65,1,103000,3140,07KNSTD,2015,15400,1200,"Balbas AM, Barth AM, Clark PU, Clark J, Caffee M, O'Connor J, Baker VR, Konrad K, Bjornstad B, 2017. 10Be dating of late Pleistocene megafloods and Cordilleran ice sheet retreat in the northwestern United States. Geology 45, 583-586.",60,NW Pacific
WIT-19,boulder,47.665,-119.634,633,2,2.65,1,193000,4040,07KNSTD,2015,28200,2200,"Balbas AM, Barth AM, Clark PU, Clark J, Caffee M, O'Connor J, Baker VR, Konrad K, Bjornstad B, 2017. 10Be dating of late Pleistocene megafloods and Cordilleran ice sheet retreat in the northwestern United States. Geology 45, 583-586.",NA,NW Pacific
C2-Boulder1,boulder,37.79927,-119.21545,3409,3.5,2.78,0.9893,600030,8020,07KNSTD,2012,15940,1300,"Becker RA, Marcott SA,  Tikoff B, Caffee M, 2018b. Rate and timing of the last deglaciation in Tuolumne Meadows and Lyell Canyon, Yosemite National Park, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",180,Sierra Nevada
C2-Boulder2,boulder,37.79964,-119.21551,3417,4.5,2.78,0.9906,564290,13150,07KNSTD,2012,16140,1300,"Becker RA, Marcott SA,  Tikoff B, Caffee M, 2018b. Rate and timing of the last deglaciation in Tuolumne Meadows and Lyell Canyon, Yosemite National Park, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",75,Sierra Nevada
GP-16-07,bedrock,37.38759,-118.79858,3576,0.5,2.65,0.9766,544630,9700,07KNSTD,2016,12710,990,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",0,Sierra Nevada
GP-16-08,bedrock,37.38766,-118.7985,3578,5,2.65,0.9779,540290,11070,07KNSTD,2016,13100,1100,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",0,Sierra Nevada
LEM-14-14,boulder,37.3844,-118.97843,2293,5.5,2.65,0.9979,304160,7010,07KNSTD,2014,16500,1300,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",230,Sierra Nevada
LEM-14-15,boulder,37.38251,-118.9789,2301,3,2.65,0.9988,291880,6670,07KNSTD,2014,15600,1200,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",60,Sierra Nevada
LEM-16-28,boulder,37.38022,-118.99899,2319,5,2.65,0.9991,370880,7340,07KNSTD,2016,19500,1400,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",175,Sierra Nevada
LEM-16-29,boulder,37.38041,-118.99895,2323,2.5,2.65,0.9837,81960,3610,07KNSTD,2016,4780,340,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",120,Sierra Nevada
LEM-16-30,boulder,37.38055,-118.99882,2322,1.5,2.65,0.9986,401630,6780,07KNSTD,2016,20400,1400,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",200,Sierra Nevada
LoLy-11-08,boulder,37.80048,-119.2635,2742,2,2.78,0.9614,377210,9140,07KNSTD,2011,15240,1200,"Becker RA, Marcott SA,  Tikoff B, Caffee M, 2018b. Rate and timing of the last deglaciation in Tuolumne Meadows and Lyell Canyon, Yosemite National Park, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",250,Sierra Nevada
MCM-16-31,boulder,37.35631,-118.99281,2298,4,2.65,0.9976,419130,7020,07KNSTD,2016,21900,1600,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",400,Sierra Nevada
MCM-16-32,boulder,37.35629,-118.99287,2286,6,2.65,0.9939,363950,10360,07KNSTD,2016,19800,1500,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",130,Sierra Nevada
MR-13-01,boulder,37.41201,-118.91431,2472,0.5,2.65,0.9747,328490,9210,07KNSTD,2013,15600,1300,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",130,Sierra Nevada
MR-13-02,boulder,37.42074,-118.87306,2570,2,2.65,0.9531,431200,6640,07KNSTD,2013,19300,1300,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",35,Sierra Nevada
MR-14-03,boulder,37.46809,-118.80101,3328,1.5,2.65,0.9926,584700,7970,07KNSTD,2014,15700,1200,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",220,Sierra Nevada
MR-14-04,boulder,37.48041,-118.80935,3436,1,2.65,0.9942,614770,12320,07KNSTD,2014,15600,1200,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",240,Sierra Nevada
MR-14-05,boulder,37.47586,-118.79774,3413,4.5,2.65,0.9926,567540,8700,07KNSTD,2014,14900,1100,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",148,Sierra Nevada
MR-14-06,boulder,37.44579,-118.79807,2970,5,2.65,0.9667,413530,8860,07KNSTD,2014,15000,1100,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",110,Sierra Nevada
MR-14-07,boulder,37.44408,-118.81073,2811,1,2.65,0.9801,430240,8390,07KNSTD,2014,15400,1200,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",200,Sierra Nevada
MR-14-08,boulder,37.4212,-118.8699,2567,4,2.65,0.9596,392570,5410,07KNSTD,2014,17800,1400,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",75,Sierra Nevada
RCH-16-24,bedrock,37.37229,-119.10944,2061,1.5,2.65,0.9989,373190,11470,07KNSTD,2016,22000,1700,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",0,Sierra Nevada
RCH-16-25,bedrock,37.37145,-119.10818,2078,1,2.65,0.9992,404710,7480,07KNSTD,2016,23600,1700,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",0,Sierra Nevada
RCH-16-26,bedrock,37.3723,-119.10699,2086,0.5,2.65,0.999,370170,9340,07KNSTD,2016,21400,1500,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",0,Sierra Nevada
RCH-16-27,cobble,37.37201,-119.10686,2094,5.5,2.65,0.9981,321250,7410,07KNSTD,2016,19700,1400,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",3,Sierra Nevada
RSP-16-16,boulder,37.47792,-119.18263,1911,3,2.65,0.981,342640,6940,07KNSTD,2016,22800,1700,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",155,Sierra Nevada
RSP-16-17,boulder,37.47763,-119.18275,1844,5,2.65,0.9909,325780,6460,07KNSTD,2016,22300,1800,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",123,Sierra Nevada
RSP-16-18,boulder,37.47758,-119.1829,1944,3.5,2.65,0.9924,343960,7000,07KNSTD,2016,23200,1800,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",105,Sierra Nevada
RSP-16-19,boulder,37.47821,-119.18269,1940,1,2.65,0.9881,330750,6890,07KNSTD,2016,21600,1600,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",117,Sierra Nevada
RSP-16-20,boulder,37.47588,-119.19255,1734,5,2.65,0.9562,278900,6480,07KNSTD,2016,23200,1800,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",185,Sierra Nevada
RSP-16-21,bedrock,37.47582,-119.1926,1727,0.3,2.65,0.9976,301870,8740,07KNSTD,2016,22900,1800,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",0,Sierra Nevada
TM14-01,boulder,37.77796,-119.26107,2955,2,2.78,0.9753,432180,7210,07KNSTD,2014,16740,1300,"Becker RA, Marcott SA,  Tikoff B, Caffee M, 2018b. Rate and timing of the last deglaciation in Tuolumne Meadows and Lyell Canyon, Yosemite National Park, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",46,Sierra Nevada
TM14-02,boulder,37.79127,-119.26223,2751,5,2.78,0.9703,361270,6060,07KNSTD,2014,15140,1100,"Becker RA, Marcott SA,  Tikoff B, Caffee M, 2018b. Rate and timing of the last deglaciation in Tuolumne Meadows and Lyell Canyon, Yosemite National Park, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",110,Sierra Nevada
TM14-03,boulder,37.79449,-119.26229,2740,4,2.78,0.9683,385360,7810,07KNSTD,2014,15440,1200,"Becker RA, Marcott SA,  Tikoff B, Caffee M, 2018b. Rate and timing of the last deglaciation in Tuolumne Meadows and Lyell Canyon, Yosemite National Park, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",250,Sierra Nevada
TM14-04,boulder,37.79741,-119.26256,2743,0.5,2.78,0.9669,358220,5350,07KNSTD,2014,15040,1200,"Becker RA, Marcott SA,  Tikoff B, Caffee M, 2018b. Rate and timing of the last deglaciation in Tuolumne Meadows and Lyell Canyon, Yosemite National Park, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",80,Sierra Nevada
TM14-05,boulder,37.80099,-119.26339,2740,0.5,2.78,0.9649,351970,8330,07KNSTD,2014,14840,1200,"Becker RA, Marcott SA,  Tikoff B, Caffee M, 2018b. Rate and timing of the last deglaciation in Tuolumne Meadows and Lyell Canyon, Yosemite National Park, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",82,Sierra Nevada
TM14-06,boulder,37.80535,-119.26567,2744,0.5,2.78,0.9646,370770,6350,07KNSTD,2014,15240,1200,"Becker RA, Marcott SA,  Tikoff B, Caffee M, 2018b. Rate and timing of the last deglaciation in Tuolumne Meadows and Lyell Canyon, Yosemite National Park, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",130,Sierra Nevada
TM14-07,boulder,37.86468,-119.30659,2709,4,2.667,0.9985,411860,7050,07KNSTD,2014,17140,1400,"Becker RA, Marcott SA,  Tikoff B, Caffee M, 2018b. Rate and timing of the last deglaciation in Tuolumne Meadows and Lyell Canyon, Yosemite National Park, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",120,Sierra Nevada
TM14-11,boulder,37.88017,-119.39292,2673,2,2.667,0.9952,341560,6690,07KNSTD,2014,15140,1200,"Becker RA, Marcott SA,  Tikoff B, Caffee M, 2018b. Rate and timing of the last deglaciation in Tuolumne Meadows and Lyell Canyon, Yosemite National Park, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",65,Sierra Nevada
TM14-12,boulder,37.88028,-119.39346,2680,3,2.667,0.9995,394770,6710,07KNSTD,2014,16440,1300,"Becker RA, Marcott SA,  Tikoff B, Caffee M, 2018b. Rate and timing of the last deglaciation in Tuolumne Meadows and Lyell Canyon, Yosemite National Park, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",143,Sierra Nevada
TM14-13,boulder,37.88072,-119.39328,2679,2.5,2.667,0.9829,555020,11250,07KNSTD,2014,24140,1900,"Becker RA, Marcott SA,  Tikoff B, Caffee M, 2018b. Rate and timing of the last deglaciation in Tuolumne Meadows and Lyell Canyon, Yosemite National Park, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",65,Sierra Nevada
TM14-15,boulder,37.90074,-119.40054,2638,2.5,2.78,0.9969,367840,5740,07KNSTD,2014,16040,1300,"Becker RA, Marcott SA,  Tikoff B, Caffee M, 2018b. Rate and timing of the last deglaciation in Tuolumne Meadows and Lyell Canyon, Yosemite National Park, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",87,Sierra Nevada
TM14-16,boulder,37.88201,-119.34608,2854,3,2.78,0.9954,382900,7380,07KNSTD,2014,14740,1100,"Becker RA, Marcott SA,  Tikoff B, Caffee M, 2018b. Rate and timing of the last deglaciation in Tuolumne Meadows and Lyell Canyon, Yosemite National Park, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",98,Sierra Nevada
TM14-17,boulder,37.88387,-119.3453,2853,1.5,2.78,0.9993,418720,7290,07KNSTD,2014,15840,1200,"Becker RA, Marcott SA,  Tikoff B, Caffee M, 2018b. Rate and timing of the last deglaciation in Tuolumne Meadows and Lyell Canyon, Yosemite National Park, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",80,Sierra Nevada
TM14-18,boulder,37.88412,-119.34521,2859,2,2.78,0.9942,440290,7210,07KNSTD,2014,16440,1200,"Becker RA, Marcott SA,  Tikoff B, Caffee M, 2018b. Rate and timing of the last deglaciation in Tuolumne Meadows and Lyell Canyon, Yosemite National Park, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",155,Sierra Nevada
UCL-14-09,boulder,37.42334,-118.90295,2879,3,2.65,0.9868,464800,11490,07KNSTD,2014,16800,1300,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",152,Sierra Nevada
UCL-14-10,boulder,37.4234,-118.90128,2883,1,2.65,0.991,499270,8270,07KNSTD,2014,17400,1300,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",210,Sierra Nevada
UCL-16-09,boulder,37.42365,-118.89805,2912,4,2.65,0.9893,493640,7850,07KNSTD,2016,17800,1300,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",125,Sierra Nevada
UCL-16-11,boulder,37.4234,-118.89993,2900,3,2.65,0.9896,486860,7990,07KNSTD,2016,17400,1300,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",160,Sierra Nevada
UCL-16-14,boulder,37.4233,-118.90195,2875,3,2.65,0.9876,504120,7940,07KNSTD,2016,18200,1400,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",120,Sierra Nevada
UCL-16-15,boulder,37.42346,-118.90321,2882,4,2.65,0.9877,492990,8000,07KNSTD,2016,18000,1400,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",200,Sierra Nevada
UMC-16-01,boulder,37.39538,-118.80675,3404,2.5,2.65,0.9712,472000,8630,07KNSTD,2016,13000,1000,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",70,Sierra Nevada
UMC-16-02,boulder,37.3951,-118.8069,3409,6,2.65,0.9705,495590,8360,07KNSTD,2016,13800,1100,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",105,Sierra Nevada
UMC-16-03,boulder,37.39488,-118.80714,3386,3,2.65,0.969,453200,8020,07KNSTD,2016,12000,1000,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",100,Sierra Nevada
UMC-16-04,cobble,37.39541,-118.80672,3398,6,2.65,0.9661,379900,7010,07KNSTD,2016,10400,980,"Becker RA, Barth AM, Marcott SA, Tikoff B, Caffee M, 2018a. The last deglaciation along Mono Creek and the south fork of the San Joaquin River, Sierra Nevada, USA. In: Becker RA, Glacial geology and geomorphology of the west-central Sierra Nevada, USA. PhD thesis, University of Wisconsin-Madison.",6,Sierra Nevada
